[600] 03 May 21:14:32 # Warning: no config file specified, using the default config. In order to specify a config file use 'redis-server /path/to/redis.conf'
[600] 03 May 21:20:54 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:20:59 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:04 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:09 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:14 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:14 - Closing idle client
[600] 03 May 21:21:14 - Accepted 127.0.0.1:49352
[600] 03 May 21:21:19 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:24 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:29 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:34 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:39 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:44 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:49 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:54 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:21:59 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:04 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:09 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:14 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:19 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:24 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:29 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:34 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:39 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:44 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:49 - 1 clients connected (0 slaves), 417040 bytes in use
[600] 03 May 21:22:54 - 1 clients connected (0 slaves), 417040 bytes in use
